STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,ITA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2010,1.529106
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,ITA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2009,-5.305154
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,ITA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2008,-1.023139
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,ITA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2007,1.462292
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,ITA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2024,0.692677
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,ITA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2023,0.975695
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,ITA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2022,4.821177
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,ITA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2021,8.931062
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,ITA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2020,-8.868221
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,ITA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2019,0.429163
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,ITA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2018,0.826647
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,JPN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2020,-4.168765
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,FRA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2022,2.716763
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,GBR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2016,2.20652
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,USA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2016,1.819451
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2008,1.954848
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2016,2.29331
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,CAN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2016,1.038551
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,FRA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2016,0.860031
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,JPN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2021,2.696574
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2007,3.623985
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2024,1.350398
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2023,1.373408
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2022,3.583821
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,AUS,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2021,4.253046
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,JPN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2018,0.643391
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,JPN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2017,1.675332
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,KOR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2015,2.920293
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,KOR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2014,3.21468
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,KOR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2013,3.291396
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,KOR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2012,2.547666
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,KOR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2011,3.688032
