FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,VALUATION,UNIT_TYPE,TC_ADJUST,TIME_PERIOD,OBS_VALUE
Q,DE,H,A,M,770,A,2013-Q4,54.5
Q,DE,H,A,M,770,A,2014-Q1,53.9
Q,DE,H,A,M,770,A,2014-Q2,53.6
Q,DE,H,A,M,770,A,2014-Q3,53.4
Q,DE,H,A,M,770,A,2014-Q4,53.1
Q,DE,H,A,M,770,A,2015-Q1,52.8
Q,DE,H,A,M,770,A,2015-Q2,52.7
Q,DE,H,A,M,770,A,2015-Q3,52.7
Q,DE,H,A,M,770,A,2015-Q4,52.6
Q,DE,H,A,M,770,A,2016-Q1,52.3
Q,DE,H,A,M,770,A,2016-Q2,52.4
Q,DE,H,A,M,770,A,2016-Q3,52.5
Q,DE,H,A,M,770,A,2016-Q4,52.4
Q,DE,H,A,M,770,A,2017-Q1,52.2
Q,DE,H,A,M,770,A,2017-Q2,52.2
Q,DE,H,A,M,770,A,2017-Q3,52.1
Q,DE,H,A,M,770,A,2017-Q4,51.8
Q,DE,H,A,M,770,A,2018-Q1,51.1
Q,DE,H,A,M,770,A,2018-Q2,51.1
Q,DE,H,A,M,770,A,2018-Q3,51.4
Q,DE,H,A,M,770,A,2018-Q4,51.5
Q,DE,H,A,M,770,A,2019-Q1,51.6
Q,DE,H,A,M,770,A,2019-Q2,52.0
Q,DE,H,A,M,770,A,2019-Q3,52.3
Q,DE,H,A,M,770,A,2019-Q4,52.4
Q,DE,H,A,M,770,A,2020-Q1,52.5
Q,DE,H,A,M,770,A,2020-Q2,54.0
Q,DE,H,A,M,770,A,2020-Q3,55.2
Q,DE,H,A,M,770,A,2020-Q4,56.1
Q,DE,H,A,M,770,A,2021-Q1,56.5
Q,DE,H,A,M,770,A,2021-Q2,55.7
Q,DE,H,A,M,770,A,2021-Q3,55.6
Q,DE,H,A,M,770,A,2021-Q4,55.3
Q,DE,H,A,M,770,A,2022-Q1,54.7
Q,DE,H,A,M,770,A,2022-Q2,54.3
Q,DE,H,A,M,770,A,2022-Q3,54.0
Q,DE,H,A,M,770,A,2022-Q4,53.2
Q,DE,H,A,M,770,A,2023-Q1,52.4
Q,DE,H,A,M,770,A,2023-Q2,51.7
Q,DE,H,A,M,770,A,2023-Q3,51.2
Q,DE,H,A,M,770,A,2023-Q4,50.6
Q,DE,H,A,M,770,A,2024-Q1,50.1
Q,DE,H,A,M,770,A,2024-Q2,49.9
Q,DE,H,A,M,770,A,2024-Q3,49.8
