FREQ,EER_TYPE,EER_BASKET,REF_AREA,TIME_PERIOD,OBS_VALUE
M,R,N,US,2011-09,76.79
M,R,N,US,2011-10,77.5
M,R,N,US,2011-11,77.93
M,R,N,US,2011-12,78.4
M,R,N,US,2012-01,78.47
M,R,N,US,2012-02,76.97
M,R,N,US,2012-03,77.59
M,R,N,US,2012-04,77.91
M,R,N,US,2012-05,79.52
M,R,N,US,2012-06,80.68
M,R,N,US,2012-07,80.02
M,R,N,US,2012-08,79.26
M,R,N,US,2012-09,77.72
M,R,N,US,2012-10,77.38
M,R,N,US,2012-11,77.87
M,R,N,US,2012-12,76.92
M,R,N,US,2013-01,77.5
M,R,N,US,2013-02,78.6
M,R,N,US,2013-03,79.52
M,R,N,US,2013-04,79.15
M,R,N,US,2013-05,79.91
M,R,N,US,2013-06,80.38
M,R,N,US,2013-07,80.96
M,R,N,US,2013-08,80.4
M,R,N,US,2013-09,80.05
M,R,N,US,2013-10,78.91
