FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,CG_DTYPE,TIME_PERIOD,OBS_VALUE
Q,CA,P,A,B,2015-Q3,192.3
Q,CA,P,A,B,2015-Q4,194.0
Q,CA,P,A,B,2016-Q1,195.5
Q,CA,P,A,B,2016-Q2,197.2
Q,CA,P,A,B,2016-Q3,199.0
Q,CA,P,A,B,2016-Q4,200.6
Q,CA,P,A,B,2017-Q1,202.3
Q,CA,P,A,B,2017-Q2,203.8
Q,CA,P,A,B,2017-Q3,205.2
Q,CA,P,A,B,2017-Q4,206.6
Q,CA,P,A,B,2018-Q1,207.9
Q,CA,P,A,B,2018-Q2,209.3
Q,CA,P,A,B,2018-Q3,210.5
Q,CA,P,A,B,2018-Q4,211.8
Q,CA,P,A,B,2019-Q1,213.0
Q,CA,P,A,B,2019-Q2,214.3
Q,CA,P,A,B,2019-Q3,215.7
Q,CA,P,A,B,2019-Q4,216.9
Q,CA,P,A,B,2020-Q1,218.4
Q,CA,P,A,B,2020-Q2,220.4
Q,CA,P,A,B,2020-Q3,222.6
Q,CA,P,A,B,2020-Q4,224.8
Q,CA,P,A,B,2021-Q1,226.9
Q,CA,P,A,B,2021-Q2,228.5
Q,CA,P,A,B,2021-Q3,230.0
Q,CA,P,A,B,2021-Q4,231.1
Q,CA,P,A,B,2022-Q1,231.9
Q,CA,P,A,B,2022-Q2,232.2
Q,CA,P,A,B,2022-Q3,232.4
Q,CA,P,A,B,2022-Q4,232.5
Q,CA,P,A,B,2023-Q1,232.5
Q,CA,P,A,B,2023-Q2,232.6
Q,CA,P,A,B,2023-Q3,232.6
Q,CA,P,A,B,2023-Q4,232.7
Q,CA,P,A,B,2024-Q1,232.5
Q,CA,P,A,B,2024-Q2,232.4
Q,CA,P,A,B,2024-Q3,232.3
Q,CA,P,A,B,2024-Q4,232.2
Q,CA,P,A,B,2025-Q1,232.0
Q,CA,P,A,B,2025-Q2,231.7
Q,JP,P,A,B,2007-Q1,178.4
Q,JP,P,A,B,2007-Q2,176.9
Q,JP,P,A,B,2007-Q3,175.5
Q,JP,P,A,B,2007-Q4,174.2
Q,JP,P,A,B,2008-Q1,172.9
Q,JP,P,A,B,2008-Q2,171.7
Q,JP,P,A,B,2008-Q3,170.6
Q,JP,P,A,B,2008-Q4,169.8
Q,JP,P,A,B,2009-Q1,169.1
Q,JP,P,A,B,2009-Q2,168.5
Q,JP,P,A,B,2009-Q3,168.1
Q,JP,P,A,B,2009-Q4,167.8
Q,JP,P,A,B,2010-Q1,167.3
Q,JP,P,A,B,2010-Q2,166.7
Q,JP,P,A,B,2010-Q3,166.1
Q,JP,P,A,B,2010-Q4,165.4
Q,JP,P,A,B,2011-Q1,164.7
Q,JP,P,A,B,2011-Q2,164.0
Q,JP,P,A,B,2011-Q3,163.4
Q,JP,P,A,B,2011-Q4,162.8
Q,JP,P,A,B,2012-Q1,162.2
Q,JP,P,A,B,2012-Q2,161.5
Q,JP,P,A,B,2012-Q3,160.9
Q,JP,P,A,B,2012-Q4,160.3
Q,JP,P,A,B,2013-Q1,159.9
Q,JP,P,A,B,2013-Q2,159.3
Q,JP,P,A,B,2013-Q3,158.8
Q,JP,P,A,B,2013-Q4,158.3
Q,JP,P,A,B,2014-Q1,157.8
Q,JP,P,A,B,2014-Q2,157.3
Q,JP,P,A,B,2014-Q3,156.7
Q,JP,P,A,B,2014-Q4,156.3
Q,JP,P,A,B,2015-Q1,155.8
Q,JP,P,A,B,2015-Q2,155.2
Q,JP,P,A,B,2015-Q3,154.6
Q,JP,P,A,B,2015-Q4,154.0
Q,JP,P,A,B,2016-Q1,153.4
Q,JP,P,A,B,2016-Q2,152.9
Q,JP,P,A,B,2016-Q3,152.4
Q,JP,P,A,B,2016-Q4,152.1
Q,JP,P,A,B,2017-Q1,151.9
Q,JP,P,A,B,2017-Q2,151.6
Q,JP,P,A,B,2017-Q3,151.3
Q,JP,P,A,B,2017-Q4,151.1
Q,JP,P,A,B,2018-Q1,150.9
Q,JP,P,A,B,2018-Q2,150.7
Q,JP,P,A,B,2018-Q3,150.6
Q,JP,P,A,B,2018-Q4,150.7
Q,JP,P,A,B,2019-Q1,150.8
Q,JP,P,A,B,2019-Q2,151.0
Q,JP,P,A,B,2019-Q3,151.2
Q,JP,P,A,B,2019-Q4,151.6
Q,JP,P,A,B,2020-Q1,152.0
Q,JP,P,A,B,2020-Q2,153.1
Q,JP,P,A,B,2020-Q3,154.4
Q,JP,P,A,B,2020-Q4,155.8
Q,JP,P,A,B,2021-Q1,157.2
Q,JP,P,A,B,2021-Q2,158.4
Q,JP,P,A,B,2021-Q3,159.6
Q,JP,P,A,B,2021-Q4,160.8
Q,JP,P,A,B,2022-Q1,162.1
Q,JP,P,A,B,2022-Q2,163.3
Q,JP,P,A,B,2022-Q3,164.5
Q,JP,P,A,B,2022-Q4,165.8
Q,JP,P,A,B,2023-Q1,166.9
Q,JP,P,A,B,2023-Q2,167.9
Q,JP,P,A,B,2023-Q3,168.8
Q,JP,P,A,B,2023-Q4,169.7
Q,JP,P,A,B,2024-Q1,170.5
Q,JP,P,A,B,2024-Q2,171.4
Q,JP,P,A,B,2024-Q3,172.1
